Date,Close,Adj Close
2009-10-26,25.709999,12.855
2009-10-27,27.9,13.95
2009-10-28,25.110001,12.555
2009-10-29,26.24,13.12
2009-10-30,25.120001,12.56
2009-11-02,24.690001,12.345
2009-11-03,25.139999,12.57
2009-11-04,24.73,12.365
2009-11-05,25.780001,12.89
2009-11-06,25.879999,12.94
2009-11-09,27.280001,13.64
2009-11-10,27.16,13.58
2009-11-11,27.66,13.83
2009-11-12,26.77,13.385
2009-11-13,27.120001,13.56
2009-11-16,28.33,14.165
2009-11-17,27.719999,13.86
2009-11-18,27.700001,13.85
2009-11-19,26.959999,13.48
2009-11-20,26.459999,13.23
2009-11-23,26.52,13.26
2009-11-24,26.41,13.205
2009-11-25,27.01,13.505
2009-11-27,26.43,13.215
2009-11-30,26.17,13.085
2009-12-01,26.76,13.38
2009-12-02,26.559999,13.28
2009-12-03,25.92,12.96
2009-12-04,27.030001,13.515
2009-12-07,27.33,13.665
2009-12-08,26.809999,13.405
2009-12-09,27.67,13.835
2009-12-10,26.73,13.365
2009-12-11,27.17,13.585
2009-12-14,27.719999,13.86
2009-12-15,27.74,13.87
2009-12-16,27.92,13.96
2009-12-17,27.34,13.67
2009-12-18,27.5,13.75
2009-12-21,28.309999,14.155
2009-12-22,30.07,15.035
2009-12-23,30.15,15.075
2009-12-24,30.24,15.12
2009-12-28,30.09,15.045
2009-12-29,30.84,15.42
2009-12-30,30.200001,15.1
2009-12-31,30.1,15.05
2010-01-04,30.91,15.455
2010-01-05,31.83,15.915
2010-01-06,32.5,16.25
2010-01-07,32.310001,16.155001
2010-01-08,32.27,16.135
2010-01-11,31.809999,15.905
2010-01-12,31.35,15.675
2010-01-13,32.32,16.16
2010-01-14,31.860001,15.93
2010-01-15,31.139999,15.57
2010-01-19,31.67,15.835
2010-01-20,31.530001,15.765
2010-01-21,31.49,15.745
2010-01-22,30.040001,15.02
2010-01-25,29.059999,14.53
2010-01-26,29.02,14.51
2010-01-27,29.07,14.535
2010-01-28,28.35,14.175
2010-01-29,28.24,14.12
2010-02-01,28.35,14.175
2010-02-02,29.200001,14.6
2010-02-03,28.959999,14.48
2010-02-04,27.25,13.625
2010-02-05,26.27,13.135
2010-02-08,26.57,13.285
2010-02-09,27.49,13.745
2010-02-10,27.209999,13.605
2010-02-11,27.92,13.96
2010-02-12,28.35,14.175
2010-02-16,28.84,14.42
2010-02-17,28.74,14.37
2010-02-18,29.190001,14.595
2010-02-19,29.09,14.545
2010-02-22,28.32,14.16
2010-02-23,27.93,13.965
2010-02-24,28.4,14.2
2010-02-25,29.120001,14.56
2010-02-26,28.65,14.325
2010-03-01,30.219999,15.11
2010-03-02,31.040001,15.52
2010-03-03,31.24,15.62
2010-03-04,31.83,15.915
2010-03-05,32.880001,16.440001
2010-03-08,33.060001,16.530001
2010-03-09,33.700001,16.85
2010-03-10,33.709999,16.855
2010-03-11,34.169998,17.084999
2010-03-12,35.16,17.58
2010-03-15,35.669998,17.834999
2010-03-16,35.529999,17.764999
2010-03-17,35.25,17.625
2010-03-18,34.830002,17.415001
2010-03-19,33.5,16.75
2010-03-22,35.040001,17.52
2010-03-23,36.23,18.115
2010-03-24,36.049999,18.025
2010-03-25,39.400002,19.700001
2010-03-26,40.57,20.285
2010-03-29,41.220001,20.610001
2010-03-30,41.900002,20.950001
2010-03-31,41.48,20.74
2010-04-01,41.689999,20.844999
2010-04-05,42.57,21.285
2010-04-06,43.080002,21.540001
2010-04-07,42.580002,21.290001
2010-04-08,42.860001,21.43
2010-04-09,43.66,21.83
2010-04-12,44.369999,22.184999
2010-04-13,43.049999,21.525
2010-04-14,43.810001,21.905001
2010-04-15,45.07,22.535
2010-04-16,44.619999,22.309999
2010-04-19,42.330002,21.165001
2010-04-20,41.919998,20.959999
2010-04-21,41.41,20.705
2010-04-22,42.23,21.115
2010-04-23,43.639999,21.82
2010-04-26,43.02,21.51
2010-04-27,42.259998,21.129999
2010-04-28,39.689999,19.844999
2010-04-29,39.84,19.92
2010-04-30,37.619999,18.809999
2010-05-03,41.549999,20.775
2010-05-04,38.549999,19.275
2010-05-05,38.18,19.09
2010-05-06,37.169998,18.584999
2010-05-07,35.82,17.91
2010-05-10,39.09,19.545
2010-05-11,39.560001,19.780001
2010-05-12,43.139999,21.57
2010-05-13,41.93,20.965
2010-05-14,39.369999,19.684999
2010-05-17,38.529999,19.264999
2010-05-18,39.049999,19.525
2010-05-19,38.59,19.295
2010-05-20,36.720001,18.360001
2010-05-21,38.509998,19.254999
2010-05-24,38.450001,19.225
2010-05-25,37.889999,18.945
2010-05-26,38.41,19.205
2010-05-27,40.919998,20.459999
2010-05-28,40.860001,20.43
2010-06-01,39.830002,19.915001
2010-06-02,41.459999,20.73
2010-06-03,43.700001,21.85
2010-06-04,40.34,20.17
2010-06-07,38.32,19.16
2010-06-08,39.049999,19.525
2010-06-09,39.099998,19.549999
2010-06-10,40.830002,20.415001
2010-06-11,41.759998,20.879999
2010-06-14,42.43,21.215
2010-06-15,44.349998,22.174999
2010-06-16,45.580002,22.790001
2010-06-17,44.259998,22.129999
2010-06-18,44.189999,22.094999
2010-06-21,43.470001,21.735001
2010-06-22,41.470001,20.735001
2010-06-23,41.98,20.99
2010-06-24,41.860001,20.93
2010-06-25,41.060001,20.530001
2010-06-28,39.669998,19.834999
2010-06-29,37.549999,18.775
2010-06-30,37.220001,18.610001
2010-07-01,37.799999,18.9
2010-07-02,36.32,18.16
2010-07-06,36.049999,18.025
2010-07-07,37.580002,18.790001
2010-07-08,38.720001,19.360001
2010-07-09,38.889999,19.445
2010-07-12,38.869999,19.434999
2010-07-13,39.130001,19.565001
2010-07-14,39.310001,19.655001
2010-07-15,39.599998,19.799999
2010-07-16,38.0,19.0
2010-07-19,37.889999,18.945
2010-07-20,38.279999,19.139999
2010-07-21,38.32,19.16
2010-07-22,40.490002,20.245001
2010-07-23,41.950001,20.975
2010-07-26,42.93,21.465
2010-07-27,41.189999,20.594999
2010-07-28,40.130001,20.065001
2010-07-29,40.650002,20.325001
2010-07-30,41.48,20.74
2010-08-02,41.470001,20.735001
2010-08-03,40.290001,20.145
2010-08-04,40.48,20.24
2010-08-05,39.75,19.875
2010-08-06,40.060001,20.030001
2010-08-09,40.060001,20.030001
2010-08-10,39.299999,19.65
2010-08-11,38.009998,19.004999
2010-08-12,38.110001,19.055
2010-08-13,37.880001,18.940001
2010-08-16,38.220001,19.110001
2010-08-17,39.23,19.615
2010-08-18,39.07,19.535
2010-08-19,37.759998,18.879999
2010-08-20,38.150002,19.075001
2010-08-23,37.799999,18.9
2010-08-24,37.139999,18.57
2010-08-25,36.990002,18.495001
2010-08-26,35.610001,17.805
2010-08-27,35.529999,17.764999
2010-08-30,31.9,15.95
2010-08-31,32.869999,16.434999
2010-09-01,33.709999,16.855
2010-09-02,34.360001,17.18
2010-09-03,35.110001,17.555
2010-09-07,35.150002,17.575001
2010-09-08,36.099998,18.049999
2010-09-09,35.849998,17.924999
2010-09-10,40.529999,20.264999
2010-09-13,42.650002,21.325001
2010-09-14,43.509998,21.754999
2010-09-15,43.689999,21.844999
2010-09-16,43.400002,21.700001
2010-09-17,43.799999,21.9
2010-09-20,44.48,22.24
2010-09-21,44.259998,22.129999
2010-09-22,42.52,21.26
2010-09-23,42.099998,21.049999
2010-09-24,43.25,21.625
2010-09-27,43.240002,21.620001
2010-09-28,45.830002,22.915001
2010-09-29,45.189999,22.594999
2010-09-30,44.720001,22.360001
2010-10-01,44.59,22.295
2010-10-04,44.060001,22.030001
2010-10-05,44.490002,22.245001
2010-10-06,43.490002,21.745001
2010-10-07,45.220001,22.610001
2010-10-08,47.48,23.74
2010-10-11,46.32,23.16
2010-10-12,45.939999,22.969999
2010-10-13,45.59,22.795
2010-10-14,46.73,23.365
2010-10-15,46.029999,23.014999
2010-10-18,45.59,22.795
2010-10-19,43.310001,21.655001
2010-10-20,43.549999,21.775
2010-10-21,43.09,21.545
2010-10-22,44.759998,22.379999
2010-10-25,44.880001,22.440001
2010-10-26,45.650002,22.825001
2010-10-27,44.66,22.33
2010-10-28,44.130001,22.065001
2010-10-29,44.32,22.16
2010-11-01,44.720001,22.360001
2010-11-02,44.759998,22.379999
2010-11-03,44.630001,22.315001
2010-11-04,45.0,22.5
2010-11-05,48.09,24.045
2010-11-08,49.549999,24.775
2010-11-09,48.18,24.09
2010-11-10,48.380001,24.190001
2010-11-11,48.310001,24.155001
2010-11-12,47.419998,23.709999
2010-11-15,46.700001,23.35
2010-11-16,47.080002,23.540001
2010-11-17,47.080002,23.540001
2010-11-18,48.43,24.215
2010-11-19,50.599998,25.299999
2010-11-22,53.25,26.625
2010-11-23,53.43,26.715
2010-11-24,53.880001,26.940001
2010-11-26,53.610001,26.805
2010-11-29,53.580002,26.790001
2010-11-30,53.619999,26.809999
2010-12-01,54.200001,27.1
2010-12-02,53.369999,26.684999
2010-12-03,53.380001,26.690001
2010-12-06,55.259998,27.629999
2010-12-07,54.93,27.465
2010-12-08,55.700001,27.85
2010-12-09,63.560001,31.780001
2010-12-10,68.699997,34.349998
2010-12-13,69.870003,34.935001
2010-12-14,67.800003,33.900002
2010-12-15,68.639999,34.32
2010-12-16,70.440002,35.220001
2010-12-17,73.290001,36.645
2010-12-20,73.169998,36.584999
2010-12-21,73.510002,36.755001
2010-12-22,71.699997,35.849998
2010-12-23,71.190002,35.595001
2010-12-27,71.720001,35.860001
2010-12-28,68.889999,34.445
2010-12-29,68.769997,34.384998
2010-12-30,69.550003,34.775002
2010-12-31,68.419998,34.209999
2011-01-03,71.580002,35.790001
2011-01-04,67.199997,33.599998
2011-01-05,68.489998,34.244999
2011-01-06,66.989998,33.494999
2011-01-07,67.0,33.5
2011-01-10,68.400002,34.200001
2011-01-11,67.239998,33.619999
2011-01-12,72.849998,36.424999
2011-01-13,71.760002,35.880001
2011-01-14,71.809998,35.904999
2011-01-18,70.970001,35.485001
2011-01-19,68.309998,34.154999
2011-01-20,67.949997,33.974998
2011-01-21,66.949997,33.474998
2011-01-24,67.970001,33.985001
2011-01-25,67.080002,33.540001
2011-01-26,68.110001,34.055
2011-01-27,70.300003,35.150002
2011-01-28,68.610001,34.305
2011-01-31,68.68,34.34
2011-02-01,73.199997,36.599998
2011-02-02,71.910004,35.955002
2011-02-03,72.010002,36.005001
2011-02-04,76.959999,38.48
2011-02-07,78.389999,39.195
2011-02-08,80.889999,40.445
2011-02-09,81.5,40.75
2011-02-10,82.769997,41.384998
2011-02-11,84.309998,42.154999
2011-02-14,83.699997,41.849998
2011-02-15,81.529999,40.764999
2011-02-16,82.599998,41.299999
2011-02-17,82.440002,41.220001
2011-02-18,82.120003,41.060001
2011-02-22,79.120003,39.560001
2011-02-23,77.269997,38.634998
2011-02-24,76.169998,38.084999
2011-02-25,76.830002,38.415001
2011-02-28,77.589996,38.794998
2011-03-01,73.800003,36.900002
2011-03-02,73.699997,36.849998
2011-03-03,75.660004,37.830002
2011-03-04,77.260002,38.630001
2011-03-07,75.18,37.59
